#EventTime	EventOrigin_x	EventOrigin_y	EventDestination_x	EventDestination_y
	46.323501	34	97	59	95
	51.022546	53	89	69	91
	89.008721	19	16	5	50
	92.21616	5	50	67	44
	98.265191	42	55	36	54
	109.025545	30	11	31	22
	111.025997	31	22	27	23
	112.856148	27	23	36	6
	130.65653	34	91	52	97
	151.85275	48	12	46	56
	154.636116	46	56	56	68
	161.22147	14	65	11	50
	164.626056	11	50	5	45
	247.469049	17	92	22	62
	249.694665	22	62	19	24
	251.513079	19	24	8	45
	257.295203	8	45	19	13
	259.614989	19	13	12	38
	286.49734	48	50	55	24
	288.281009	55	24	60	5
	291.122151	60	5	33	21
	294.666496	33	21	15	70
	298.519487	15	70	60	99
	318.875721	55	12	62	9
	325.77883	19	98	35	86
	329.565823	35	86	30	97
	349.651805	47	59	47	27
	352.602839	47	27	45	40
	354.424746	45	40	47	12
	380.02212	19	68	27	65
	380.840808	27	65	27	90
	390.709116	8	55	25	94
	395.609802	25	94	24	55
	398.392099	24	55	24	20
	401.473688	24	20	33	20
	402.505899	33	20	33	35
	403.23103	33	35	24	24
	405.513278	24	24	29	68
	409.395151	29	68	25	88
	411.012684	25	88	31	99
	413.899208	31	99	27	88
	415.523873	27	88	29	53
	417.778381	29	53	37	14
	421.153644	37	14	42	16
	423.251583	42	16	36	54
	426.777238	36	54	32	85
	429.550573	32	85	59	67
	432.039458	42	30	47	50
	435.131832	47	50	41	54
	437.284701	41	54	14	55
	440.931405	14	55	36	85
	446.42999	36	85	41	70
	448.823337	41	70	51	13
	452.249359	51	13	84	12
	470.526751	38	74	23	81
	472.345004	23	81	33	56
	475.81912	33	56	31	16
	478.063252	31	16	35	59
	483.459683	35	59	37	42
	486.904146	37	42	41	84
	488.642046	41	84	49	97
	492.913649	49	97	40	86
	495.203497	40	86	43	46
	499.177369	43	46	44	13
	504.396917	54	84	55	48
	506.680864	55	48	55	32
	510.874655	55	32	43	28
	512.290179	43	28	41	38
	516.923641	61	52	57	86
	520.306956	57	86	99	72
	605.781783	62	68	55	29
	607.665948	55	29	60	27
	609.742066	60	27	71	8
	611.626465	71	8	67	14
	614.115182	67	14	90	7
	628.545296	53	15	75	10
	634.315811	35	61	32	72
	638.716336	20	67	22	37
	644.849345	41	42	44	35
	648.45343	44	35	58	25
	648.788178	58	25	44	45
	654.272547	44	45	45	88
	656.786591	45	88	46	66
	658.984182	46	66	35	53
	660.927154	35	53	36	26
	662.816659	36	26	44	9
	664.192536	44	9	29	28
	666.398299	29	28	30	88
	670.794207	30	88	54	98
	672.485389	54	98	40	88
	677.030895	40	88	39	58
	679.627443	39	58	42	22
	681.346038	42	22	45	7
	694.414732	13	69	28	96
	698.002619	28	96	32	91
	699.267219	32	91	9	64
	717.476578	88	10	94	5
	719.441687	94	5	82	5
	763.935874	31	4	26	15
	766.375013	26	15	28	46
	768.959506	28	46	27	75
