#MatchID	TeamID	OriginPlayerID	DestinationPlayerID	MatchPeriod	EventType
1	Huskies	Huskies_G1		1H	Free Kick
1	Opponent1	Opponent1_D1		1H	Duel
1	Huskies	Huskies_F1		1H	Duel
1	Opponent1	Opponent1_D2		1H	Free Kick
1	Huskies	Huskies_D1	Huskies_F1	1H	Pass
1	Huskies	Huskies_F1		1H	Duel
1	Opponent1	Opponent1_D1		1H	Duel
1	Opponent1	Opponent1_M1		1H	Pass
1	Huskies	Huskies_F1		1H	Pass
1	Opponent1	Opponent1_D1		1H	Duel
1	Huskies	Huskies_M1	Huskies_F2	1H	Pass
1	Huskies	Huskies_F2		1H	Pass
1	Opponent1	Opponent1_D2		1H	Free Kick
1	Huskies	Huskies_F1		1H	Free Kick
1	Opponent1	Opponent1_D2	Opponent1_G1	1H	Pass
1	Opponent1	Opponent1_G1	Opponent1_F1	1H	Pass
1	Opponent1	Opponent1_F1		1H	Duel
1	Huskies	Huskies_D2		1H	Duel
1	Huskies	Huskies_M2	Huskies_M3	1H	Pass
1	Huskies	Huskies_M3		1H	Pass
1	Opponent1	Opponent1_M1		1H	Pass
1	Huskies	Huskies_D1		1H	Pass
1	Opponent1	Opponent1_D1		1H	Duel
1	Huskies	Huskies_F1		1H	Duel
1	Opponent1	Opponent1_M1		1H	Pass
1	Huskies	Huskies_F1		1H	Others on the ball
1	Opponent1	Opponent1_D1	Opponent1_F2	1H	Pass
1	Opponent1	Opponent1_F2	Opponent1_D2	1H	Pass
1	Opponent1	Opponent1_D2	Opponent1_M1	1H	Pass
1	Opponent1	Opponent1_M1		1H	Pass
1	Huskies	Huskies_F1		1H	Others on the ball
1	Opponent1	Opponent1_D2		1H	Free Kick
1	Huskies	Huskies_D1	Huskies_F1	1H	Pass
1	Huskies	Huskies_F1		1H	Duel
1	Opponent1	Opponent1_D1		1H	Free Kick
1	Opponent1	Opponent1_F2	Opponent1_D3	1H	Pass
1	Opponent1	Opponent1_D3	Opponent1_M2	1H	Pass
1	Opponent1	Opponent1_M2		1H	Pass
1	Huskies	Huskies_D1	Huskies_G1	1H	Pass
1	Huskies	Huskies_G1	Huskies_G1	1H	Pass
1	Huskies	Huskies_G1		1H	Pass
1	Opponent1	Opponent1_D1		1H	Duel
1	Huskies	Huskies_G1		1H	Pass
1	Opponent1	Opponent1_D1		1H	Duel
1	Huskies	Huskies_F1		1H	Duel
1	Huskies	Huskies_M3		1H	Others on the ball
1	Huskies	Huskies_D1		1H	Duel
1	Opponent1	Opponent1_M1		1H	Duel
1	Huskies	Huskies_D1		1H	Others on the ball
1	Opponent1	Opponent1_M1		1H	Duel
1	Huskies	Huskies_D1		1H	Duel
1	Huskies	Huskies_D1		1H	Free Kick
1	Huskies	Huskies_F2		1H	Duel
1	Opponent1	Opponent1_M1		1H	Duel
1	Huskies	Huskies_F2		1H	Duel
1	Opponent1	Opponent1_M1		1H	Duel
1	Huskies	Huskies_F2		1H	Foul
1	Opponent1	Opponent1_D1		1H	Free Kick
1	Huskies	Huskies_G1		1H	Goalkeeper leaving line
1	Opponent1	Opponent1_F3		1H	Duel
1	Huskies	Huskies_G1		1H	Duel
1	Opponent1	Opponent1_M3		1H	Duel
